DISTRICTCODE,Date,TINF,TREC,TDEC
4,17-04-2020,12,0,0
5,17-04-2020,86,41,3
6,17-04-2020,14,0,0
7,17-04-2020,0,0,0
8,17-04-2020,16,8,2
9,17-04-2020,0,0,0
10,17-04-2020,1,1,0
11,17-04-2020,12,8,0
12,17-04-2020,2,2,0
13,17-04-2020,6,1,0
14,17-04-2020,2,0,1
15,17-04-2020,0,0,0
16,17-04-2020,0,0,0
17,17-04-2020,20,3,3
18,17-04-2020,1,1,0
19,17-04-2020,0,0,0
20,17-04-2020,0,0,0
21,17-04-2020,11,0,0
22,17-04-2020,73,12,0
23,17-04-2020,0,0,0
24,17-04-2020,0,0,0
25,17-04-2020,0,0,0
26,17-04-2020,2,1,1
27,17-04-2020,3,2,0
28,17-04-2020,11,8,0
29,17-04-2020,19,0,1
30,17-04-2020,0,0,0
31,17-04-2020,0,0,0
1,18-04-2020,21,0,1
2,18-04-2020,13,0,0
3,18-04-2020,42,0,1
4,18-04-2020,12,1,0
5,18-04-2020,89,42,3
6,18-04-2020,14,0,0
7,18-04-2020,0,0,0
8,18-04-2020,16,8,2
9,18-04-2020,0,0,0
10,18-04-2020,1,1,0
11,18-04-2020,12,11,0
12,18-04-2020,2,2,0
13,18-04-2020,7,1,0
14,18-04-2020,3,0,1
15,18-04-2020,0,0,0
16,18-04-2020,0,0,0
17,18-04-2020,22,3,3
18,18-04-2020,1,1,0
19,18-04-2020,0,0,0
20,18-04-2020,0,0,0
21,18-04-2020,12,0,0
22,18-04-2020,80,22,0
23,18-04-2020,0,0,0
24,18-04-2020,0,0,0
25,18-04-2020,0,0,0
26,18-04-2020,2,1,1
27,18-04-2020,3,2,0
28,18-04-2020,11,9,0
29,18-04-2020,21,0,2
30,18-04-2020,0,0,0
31,18-04-2020,0,0,0
1,19-04-2020,21,0,1
2,19-04-2020,13,0,0
3,19-04-2020,42,0,1
4,19-04-2020,12,3,0
5,19-04-2020,89,44,4
6,19-04-2020,14,0,0
7,19-04-2020,0,0,0
8,19-04-2020,16,8,2
9,19-04-2020,0,0,0
10,19-04-2020,1,1,0
11,19-04-2020,14,11,1
12,19-04-2020,2,2,0
13,19-04-2020,7,1,0
14,19-04-2020,3,0,1
15,19-04-2020,0,0,0
16,19-04-2020,0,0,0
17,19-04-2020,22,3,3
18,19-04-2020,1,1,0
19,19-04-2020,0,0,0
20,19-04-2020,0,0,0
21,19-04-2020,12,0,0
22,19-04-2020,84,24,0
23,19-04-2020,0,0,0
24,19-04-2020,0,0,0
25,19-04-2020,0,0,0
26,19-04-2020,2,1,1
27,19-04-2020,3,3,0
28,19-04-2020,11,9,0
29,19-04-2020,21,0,2
30,19-04-2020,0,0,0
31,19-04-2020,0,0,0
1,20-04-2020,21,0,1
2,20-04-2020,13,0,0
3,20-04-2020,42,0,1
4,20-04-2020,12,3,0
5,20-04-2020,89,45,4
6,20-04-2020,15,0,0
7,20-04-2020,0,0,0
8,20-04-2020,16,8,2
9,20-04-2020,0,0,0
10,20-04-2020,1,1,0
11,20-04-2020,14,11,1
12,20-04-2020,2,2,0
13,20-04-2020,7,1,0
14,20-04-2020,4,0,1
15,20-04-2020,0,0,0
16,20-04-2020,0,0,0
17,20-04-2020,27,3,3
18,20-04-2020,1,1,0
19,20-04-2020,0,0,0
20,20-04-2020,0,0,0
